07ENL,NORMAL LICENCIATURA,ESTATAL,LICENCIATURA EN EDUCACION NORMAL FISICA  ESTATAL,LICENCIATURA EN EDUCACION NORMAL ESTATAL
07DNL,NORMAL LICENCIATURA,FEDERAL,LICENCIATURA EN EDUCACION NORMAL PREESCOLAR FEDERAL TRANSFERIDO,LICENCIATURA EN EDUCACION NORMAL  FEDERAL
07KJN,PREESCOLAR,FEDERAL,PREESCOLAR CONAFE FEDERAL,PREESCOLAR CONAFE FEDERAL
07KCC,PREESCOLAR,FEDERAL,PREESCOLAR CONAFE INDIGENA FEDERAL,PREESCOLAR CONAFE INDIGENA FEDERAL
07OJN,PREESCOLAR,ESTATAL,PREESCOLAR GENERAL DE OTRA SECRETARIA U ORGANISMO DE ESTADO,PREESCOLAR GENERAL DE OTRA SECRETARIA U ORGANISMO DE ESTADO
07NJN,PREESCOLAR,FEDERAL,PREESCOLAR GENERAL DE OTRA SECRETARIA U ORGANISMO FEDERAL,PREESCOLAR GENERAL DE OTRA SECRETARIA U ORGANISMO FEDERAL
07SJN,PREESCOLAR,FEDERAL,PREESCOLAR GENERAL DE SUBSIDIO FEDERAL,PREESCOLAR GENERAL DE SUBSIDIO FEDERAL
07EJN,PREESCOLAR,ESTATAL,PREESCOLAR GENERAL ESTATAL,PREESCOLAR GENERAL ESTATAL
07DNM,PREESCOLAR,FEDERAL,PREESCOLAR GENERAL NIÑOS MIGRANTES FEDERAL TRANSFERIDO,PREESCOLAR GENERAL NIÑOS MIGRANTES FEDERAL TRANSFERIDO
07PJN,PREESCOLAR,PARTICULAR,PREESCOLAR GENERAL PARTICULAR,PREESCOLAR GENERAL PARTICULAR
07DJN,PREESCOLAR,FEDERAL,PREESCOLAR GENERAL FEDERAL TRANSFERIDO,PREESCOLAR GENERAL FEDERAL TRANSFERIDO
07ECC,PREESCOLAR,ESTATAL,PREESCOLAR INDIGENA ESTATAL,PREESCOLAR INDIGENA ESTATAL
07DCC,PREESCOLAR,FEDERAL,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO
07NPR,PRIMARIA ,FEDERAL,PRIMARIA GENERAL DE OTRA SECRETARIA U ORGANISMO FEDERAL,PRIMARIA GENERAL DE OTRA SECRETARIA U ORGANISMO FEDERAL
07EPR,PRIMARIA ,ESTATAL,PRIMARIA GENERAL ESTATAL,PRIMARIA GENERAL ESTATAL
07DPR,PRIMARIA ,FEDERAL,PRIMARIA GENERAL FEDERAL TRANSFERIDO,PRIMARIA GENERAL FEDERAL TRANSFERIDO
07DZC,PRIMARIA ,FEDERAL,PRIMARIA GENERAL NIÐOS MIGRANTES FEDERAL TRANSFERIDO,PRIMARIA GENERAL NIÐOS MIGRANTES FEDERAL TRANSFERIDO
07PPR,PRIMARIA ,PARTICULAR,PRIMARIA GENERAL PARTICULAR,PRIMARIA GENERAL PARTICULAR
07EPB,PRIMARIA ,ESTATAL,PRIMARIA INDIGENA ESTATAL,PRIMARIA INDIGENA ESTATAL
07DPB,PRIMARIA ,FEDERAL,PRIMARIA INDIGENA FEDERAL TRANSFERIDO,PRIMARIA INDIGENA FEDERAL TRANSFERIDO
07ESC,SECUNDARIA,ESTATAL,SECUNDARIA COMUNITARIA ESTATAL,SECUNDARIA COMUNITARIA ESTATAL
